ID_PERFIL,FEATURES_FORCADAS_DO_PERFIL,RANK,TITULO_RECOMENDADO,RATING_RECOMENDADO,JACCARD_SCORE,GENERO_FILME,TEMA_FILME,DIRETOR_FILME,PRODUTORA_FILME,PAIS_FILME
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",1,Searching,7.6,0.46153846153846156,Thriller Psicológico,Suspense / Mistério,Outros,Screen Gems,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",2,Run,6.7,0.5,Thriller Psicológico,Suspense / Mistério,Outros,Lionsgate,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",3,House at the End of the Street,5.5,0.35714285714285715,Thriller Psicológico,Drama Adolescente,Outros,Relativity Media,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",4,The Guest,6.7,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Adam Wingard,HanWay Films,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",5,The Da Vinci Code,6.6,0.3333333333333333,Aventura Global,Suspense / Mistério,Ron Howard,Columbia Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",6,Shutter Island,8.2,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Martin Scorsese,Paramount Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",7,"Food, Inc.",7.8,0.4166666666666667,Documentário de Comida,Outros,Outros,Magnolia Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",8,Glass,6.6,0.3333333333333333,Thriller Psicológico,Super-Herói,M Night Shyamalan,Universal Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",9,Memento,8.4,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Christopher Nolan,Newmarket Capital Group,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",10,Disturbia,6.8,0.3333333333333333,Thriller Psicológico,Crime,DJ Caruso,Dreamworks Pictures,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",1,Chunhyang,7.1,0.38461538461538464,Drama,Musical,Outros,CJ Entertainment,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",2,Piranha 3D,5.5,0.3333333333333333,Terror Slasher,Comédia,Alexandre Aja,Dimension Films,França
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",3,"Spring, Summer, Fall, Winter... and Spring",8.0,0.38461538461538464,Drama,Romance,Outros,Pandora Filmproduktion,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",4,Never Forever,6.4,0.38461538461538464,Drama,Romance,Outros,Outros,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",5,Stephanie Daley,6.2,0.26666666666666666,Drama,Indefinido,Outros,Silverwood Films,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",6,Finder's Fee,6.2,0.26666666666666666,Drama,Thriller,Outros,Shavick Entertainment,Canadá
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",7,Circle of Deceit,7.1,0.25,Drama,Guerra,Volker Schlndorff,Argos Films,West Germany
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",8,Higher Ground,6.2,0.26666666666666666,Drama,Indefinido,Outros,BCDF Pictures,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",9,Jesus of Montreal,7.5,0.26666666666666666,Drama,Romance,Denys Arcand,National Film Board of Canada NFB,Canadá
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",10,Zola,6.4,0.26666666666666666,Comédia Sombria,Comédia,Outros,Killer Films,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",1,Charlie's Angels,5.0,0.46153846153846156,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",2,Cloudy with a Chance of Meatballs 2,6.3,0.46153846153846156,Computer Animation,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",3,S.W.A.T.,6.1,0.46153846153846156,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",4,Ghostbusters: Afterlife,7.0,0.42857142857142855,Fantasia Sobrenatural,Aventura,Jason Reitman,Columbia Pictures,Estados Unidos
